问题编号,问题内容,Sabrina（受访者1）,受访者2,受访者3,,,,,,,,,,,,,
1,简单介绍一下你的创作背景，之前主要做过哪些类型的内容？,自己独立创作了「最后的观众」，参与了「100个女孩的心情」和「奥特曼」的ROTO上传制作。平台上除了猫上司和大象第一集外，其他作品基本都是她上传的。是ROTO最资深的创作者用户。,,,,,,,,,,,,,,,
2,在使用 Roto 之前，你对「AI 互动视频」或「开放世界叙事」这类概念有过了解吗？,了解过。看过谷歌的开放大世界宣传片（实时输入去哪、干什么，类似游戏的开放式体验），也体验过 Pixverse 的互动视频产品，但觉得画面有点鬼畜，质量不太高。,,,,,,,,,,,,,,,
3,最初接触 ROTO 时，你对它的期待是什么？,最初感觉像一个交互影片工具，类似黑镜第5季的 Bandersnatch。但实际使用后觉得比 Bandersnatch 可能性更多，交互方式更丰富，自由度更高。,,,,,,,,,,,,,,,
4,第一次打开创作工具时，你的第一印象是什么？,新版画布感觉比之前复杂，像是要做 3D 立体空间的样子。从使用角度来说，觉得第一个版本（从左到右、横平竖直）更方便。新版给人空间感，对我的创作来讲没有特别的加分吧。,,,,,,,,,,,,,,,
5,打开画布，从「初始剧情节点」开始创建作品时，有没有哪个概念或功能让你感到困惑？,上传奥特曼时，最初不清楚可以用分支判断节点来实现不同结局走向（成功/失败结局对应不同首尾帧）。第一次使用时不知道分支节点需要上传视频内容。但用过一次后，所有节点的使用方式就都明白了。,,,,,,,,,,,,,,,
6,在设置「交互节点」时，你是如何判断在哪个位置触发用户交互最为合适的？,交互节点的位置比较容易判断，因为在剧本/脚本中已经设定好了问题的位置。但生成节点的放置位置当时不太清楚——不确定是必须在交互节点之后立即设置，还是在生成视频出来之前设置一个就行。最终发现取决于剧情设置，有些需要先走过场再加生成节点。,,,,,,,,,,,,,,,
7,「生成节点」的概念对你来说是否清晰？配置生成类型（视频/语音/文字）的必填项时，哪部分最让你头疼？,"「剧情背景」和「生成内容定义」的填写方式最头疼：
- 不清楚剧情背景应该概括写还是原文粘贴，最终选择概括+简单写结构走向
- 不清楚用 @ 引用交互节点的方式，看了说明后才明白
- 不确定 AI 理解程度如何，不知道提示词怎么写才能让roto生成效果更好
- 参考了 Carol 的截图和文本案例后才逐步理解
- 现在经验总结：比如直接拿内容组工作流里生视频的提示词 加一些固定的限定（如亚洲人、胶片感、都市文艺片等），VEO的生成控制画面风格一致性会好一些",,,,,,,,,,,,,,,
8,在叠加AI设置，需上传「超时生成等候剧情」作为预制内容与等待AI生成内容之间的衔接，你在创作时是怎么考虑的？,"从脚本层面就需要提前设定。当前「叠加AI」超时生成等候时间约80秒，制作时会预设等待片段，一般用空镜或氛围感画面，保证观感不重复、不突兀，剧情不做明显推进。
「分支判断」的超时等候与AI生成的超时等候是不同的概念——分支判断等候约10秒即可，时间较短，能清晰区分两者。",,,,,,,,,,,,,,,
9,「分支判断」系统如何判断走哪个分支的判断规则，你是怎么设置的？,以「最后的观众」为例：剧情中需要用户从三个按钮（绿色/白色等）中选择，选择不同颜色走不同剧情分支，给出对应的反馈视频。这个功能很快就能想到用分支判断来实现。但发现分支判断也需要等待时间，之前没有考虑到需要为「分支判断」也准备循环等候视频，后来临时补加了「系统正在加载」类的画面。,,,,,,,,,,,,,,,
10,你觉得 ROTO 目前的「AI 智能辅助」能力如何？有哪些环节希望 AI 能提供更多帮助？,希望在写剧情背景和提示词的文字阶段能内置LM模型辅助润色，这样比去其他AI平台生了再copy过来会更方便。在创作层面，希望能上传脚本后自动生成分镜，但担心制作界面和上传界面集成在同一画布会太复杂，建议功能分开。目前自己有固定的制作工作流（如使用 tapnow 等平台），文字润色的AI辅助是最现实可加的功能。,,,,,,,,,,,,,,,
11,你的预览测试过程是怎样的？,上传完成后自己跑一遍观看，一般看一遍就能发现比较大的问题，细节问题可能需要多看几遍。根据roto生成画面的效果来调整视频的制作配置。,,,,,,,,,,,,,,,
12,有没有遇到AI生成的内容质量不理想的情况？你是如何处理的？,"主要通过润色提示词来改善生成效果。首尾帧和文生视频的设定一般在开始就想好，后期改动不大。

如果画面有问题，会调整生成节点的固定提示词。需要时也会用首帧固定来保证画面一致性（🌰奥特曼的结局场景固定），有时是开放性问题用户输入五花八门（🌰最后的观众问""你觉得爱是怎么样的？） 具体方式取决于剧情设定。

",,,,,,,,,,,,,,,
13,相比传统视频创作，这种「构建开放世界观」的方式对你来说有什么不同？,"需要额外思考交互形式带来的挑战：
- 脚本层面要预留等待片段
- 交互节点的问题设置需要考虑如何便于呈现
- 不希望交互感觉像预设了答案
- 需要考虑生成画面如何与后续剧情衔接
- 整体需要更多地从用户体验角度思考",,,,,,,,,,,,,,,
